Term"	"曜日/
Day of Week"	"時限/
Period"	Online	"Zoom 
MTG ID "	"教室/
Classroom"	"講義CD/
Subject CD"	講義名	Subject Name	担当教員	Instructor	"言語/
2Q	月/Mon.	1			T.B.A.	030262JA	生物多様性JA	BiodiversityJA	山浦 紘一	YAMAURA Koichi	J	3	専門/Major	APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
2Q	月/Mon.	1			T.B.A.	030760JA	消費者行動論JA	Consumer BehaviorJA	蛯谷 憲治	EBITANI Kenji	J	3	他学部/Other College	他学部科目Other College Subjects
2Q	月/Mon.	1			T.B.A.	037107JA	農業遺産とツーリズムJA	Agri-heritage and TourismJA	林 浩昭	HAYASHI Hiroaki	J	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
2Q	月/Mon.	1			T.B.A.	037132EB	環境・開発　特殊講義EB	Special Lecture in Environment and DevelopmentEB	山根 友美	YAMANE Tomomi	E	5	専門/Major	APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
Semester	月/Mon.	2			F304	010081AA	日本語初級Ⅰ AA	Japanese Foundation Course I AA	米 冰寒	MI Binghan		1	言語/Language	-
Semester	月/Mon.	2			F211	010081AB	日本語初級Ⅰ AB	Japanese Foundation Course I AB	寺井 敦子	TERAI Atsuko		1	言語/Language	-
Semester	月/Mon.	2			F213	010081AC	日本語初級Ⅰ AC	Japanese Foundation Course I AC	成 利楽	CHENG Lile		1	言語/Language	-
Semester	月/Mon.	2			F212	010081AD	日本語初級Ⅰ AD	Japanese Foundation Course I AD	寺本 真悠子	TERAMOTO Mayuko		1	言語/Language	-
Semester	月/Mon.	2			F207	010081AE	日本語初級Ⅰ AE	Japanese Foundation Course I AE	山門 健二	YAMADO Kenji		1	言語/Language	-
Semester	月/Mon.	2			F302	010081AF	日本語初級Ⅰ AF	Japanese Foundation Course I AF	大内 由紀	OUCHI Yuki		1	言語/Language	-
Semester	月/Mon.	2			F111	010101AA	日本語中級 AA	Japanese Intermediate Course AA	布尾 勝一郎	NUNOO Katsuichiro		1	言語/Language	-
